source.file,sample.id,sample.weight,n.prop,n15,c.prop,c13,indiv.id,pack,sex,sample.date,sample.dateN,birth.date,indiv.age,age.accurate,
HM031015qc,WSK032/HM092,0.592,13.47465594,12.30347998,39.91113986,-18.76250863,HM092,17,M,22/10/2013,41569,38461,3108,1,fixed
hm031115qcr,WSK092/HM092,0.218,16.51923422,10.91716637,48.31503882,-19.03072132,HM092,17,M,25/04/2014,41754,38461,3293,1,
cs021216rlc.xlsx,WSK527_HM092,0.6621,15.32046473,12.25309739,42.57463815,-19.95732762,HM092,17,M,14/01/2015,42018,38461,3557,1,
CS021116rlc.xlsx,WSK391_HM117,0.7877,16.77943607,13.59458152,45.2419637,-18.97928828,HM117,1H,M,18/07/2014,41838,38854,2984,1,
cs021616rlc.xlsx,WSK495_HM117,0.519,16.71255212,13.86079159,45.02295089,-19.05915847,HM117,1H,M,09/01/2015,42013,38854,3159,1,
CS021116rlc.xlsx,WSK970_HM117,0.6738,17.23770702,11.654022,46.691679,-17.36084388,HM117,1H,M,22/05/2015,42146,38854,3292,1,
hm031115qcr,WSK210/HM180,0.463,16.69061189,13.25203629,45.92809372,-19.05295415,HM180,1H,M,27/02/2014,41697,39735,1962,1,
cs021216rlc.xlsx,WSK390_HM180,0.8761,16.4140501,13.08057908,43.54263625,-19.72800348,HM180,1H,M,18/07/2014,41838,39735,2103,1,
cs021616rlc.xlsx,WSK507_HM180,0.349,14.29109966,14.17884422,39.84981794,-19.69722853,HM180,1H,M,09/01/2015,42013,39735,2278,1,
cs021616rlc.xlsx,WSK969_HM180,1.2258,15.48726055,12.72810165,40.60563265,-19.9182495,HM180,1H,M,22/05/2015,42146,39735,2411,1,
cs021616rlc.xlsx,WSK494_HM195,0.729,16.44596983,13.39280281,44.45854317,-18.99236977,HM195,1H,M,09/01/2015,42013,40165,1848,1,
hm031115qcr,WSK211/HM216,0.531,16.71059521,13.30924774,46.05661395,-18.87750445,HM216,1H,M,27/02/2014,41697,40492,1205,1,
CS021116rlc.xlsx,WSK393_HM216,1.1262,16.7743769,13.50948353,44.86891543,-19.11337017,HM216,1H,M,18/07/2014,41838,40492,1346,1,
cs021616rlc.xlsx,WSK501_HM216,0.614,15.8296303,13.45627986,44.09652857,-19.0790595,HM216,1H,M,09/01/2015,42013,40492,1521,1,
CS021116rlc.xlsx,WSK976_HM216,0.8458,15.93730829,12.29802936,43.46033461,-19.23425117,HM216,1H,M,23/05/2015,42147,40492,1655,1,
HM031015qc,WSK153/HM217,0.713,16.44118846,12.95605471,45.00944972,-18.8302522,HM217,1H,M,19/11/2013,41597,40492,1105,1,
CS021116rlc.xlsx,WSK392_HM217,0.8716,16.88861257,13.38080135,45.04097136,-19.19114914,HM217,1H,M,18/07/2014,41838,40492,1346,1,
cs021616rlc.xlsx,WSK504_HM217,0.571,16.74698458,13.9520112,44.50647643,-18.90707771,HM217,1H,M,09/01/2015,42013,40492,1521,1,
CS021116rlc.xlsx,WSK965_HM217,0.9362,13.935726,12.15358499,37.27736914,-19.31600997,HM217,1H,M,21/05/2015,42145,40492,1653,1,
hm031115qcr,WSK209/HM222,0.806,16.87916794,13.05798419,45.48096198,-19.04642095,HM222,1H,M,27/02/2014,41697,40492,1205,1,
CS021116rlc.xlsx,WSK381_HM222,0.4346,16.5409482,13.38066724,45.60915013,-19.78670094,HM222,1H,M,17/07/2014,41837,40492,1345,1,
cs021216rlc.xlsx,WSK1074_HM222,1.2006,16.5543733,13.84096251,43.91449932,-19.89927507,HM222,1H,M,09/09/2015,42256,40492,1764,1,
hm031115qcr,WSK212/HM223,0.728,17.13631956,13.34085437,44.70035783,-18.61200249,HM223,1H,M,27/02/2014,41697,40492,1205,1,
CS021116rlc.xlsx,WSK385_HM223,0.682,17.12116335,13.13228254,45.79816813,-19.49270018,HM223,1H,M,17/07/2014,41837,40492,1345,1,
CS021116rlc.xlsx,WSK966_HM223,0.9378,13.45321782,12.42267632,37.96766881,-19.24898637,HM223,1H,M,21/05/2015,42145,40492,1653,1,
cs031816_rlc.xlsx,WSK387_HM241,0.8566,16.79205682,13.26967519,44.24002232,-19.47384781,HM241,1H,M,17/07/2014,41837,41022,815,1,
cs021216rlc.xlsx,WSK384_HM246,0.7104,16.36943564,12.99141992,43.94159378,-19.81156465,HM246,1H,M,17/07/2014,41837,41022,815,1,
cs021616rlc.xlsx,WSK974_HM246,0.5943,12.19818619,14.01557961,32.99507775,-19.42538568,HM246,1H,M,09/01/2015,42013,41022,991,1,
cs021616rlc.xlsx,WSK974_HM246,1.0201,15.63788726,12.11926473,42.45406266,-19.44773532,HM246,1H,M,22/05/2015,42146,41022,1124,1,
cs021216rlc.xlsx,WSK1068_HM246,0.9575,16.40706366,14.02559409,44.07549278,-19.69913634,HM246,1H,M,09/09/2015,42256,41022,1234,1,
hm022415qc,WSK149/HM272,0.477,16.88514188,13.16051676,45.79269821,-18.67734285,HM272,1H,M,19/11/2013,41597,41552,45,1,
hm022415qc,WSK150/HM272,0.436,16.7399069,13.08531421,45.32558939,-18.92727161,HM272,1H,M,19/11/2013,41597,41552,45,1,
HM031015qc,WSK152/HM275,0.549,15.95304994,12.65768626,44.96837156,-18.97071516,HM275,1H,M,19/11/2013,41597,41552,45,1,
hm031115qcr,WSK213/HM275,0.327,16.68189876,13.73995527,46.26140357,-20.38042561,HM275,1H,M,27/02/2014,41697,41552,145,1,
CS021116rlc.xlsx,WSK386_HM275,0.4346,16.36576284,13.53708586,45.89645818,-19.87593686,HM275,1H,M,17/07/2014,41837,41552,285,1,
cs021616rlc.xlsx,WSK493_HM275,0.418,14.89037949,13.97780469,41.29429085,-19.57326355,HM275,1H,M,09/01/2015,42013,41552,461,1,
cs021616rlc.xlsx,WSK971_HM275,0.4298,15.61442288,12.25334163,43.50601999,-19.60447119,HM275,1H,M,22/05/2015,42146,41552,594,1,
cs021216rlc.xlsx,WSK1062_HM275,1.1532,16.25141601,14.0407611,43.74419071,-19.67238711,HM275,1H,M,08/09/2015,42255,41552,703,1,
hm031115qcr,WSK257/HM278,0.339,16.87007908,12.98877752,46.53688685,-18.66319862,HM278,1H,M,10/05/2014,41769,41740,29,1,
cs021616rlc.xlsx,WSK972_HM291,0.5489,15.62737559,12.11391682,42.78806755,-19.69913293,HM291,1H,M,22/05/2015,42146,41927,219,1,
cs021216rlc.xlsx,WSK1072_HM291,0.9417,16.77284723,13.99813866,44.92886326,-19.81111496,HM291,1H,M,09/09/2015,42256,41927,329,1,
cs021216rlc.xlsx,WSK973_HM293,1.2595,16.18156847,11.86332954,43.15376236,-19.4627114,HM293,1H,M,22/05/2015,42146,41927,219,1,
cs031816_rlc.xlsx,WSK979_HM307,0.8386,16.71109995,12.16416234,44.72082431,-19.18053971,HM307,1H,M,23/05/2015,42147,42114,33,1,
hm022615qc,WSK067/MM002,0.591,14.22254014,10.6419693,40.22026337,-19.46020207,MM002,4E,M,25/10/2013,41572,40995,577,0,
CS021116rlc.xlsx,WSK317_MM002,0.3122,16.40247484,10.54976886,46.94675298,-19.83066266,MM002,4E,M,20/06/2014,41810,40995,815,0,
hm022415qc,WSK070/MM004,0.784,16.37444548,10.73449192,44.00272165,-19.6977307,MM004,4E,M,25/10/2013,41572,41143,429,0,
cs031816_rlc.xlsx,WSK319_MM004,1.5925,16.85087239,11.30439084,44.63061501,-19.84957256,MM004,4E,M,20/06/2014,41810,41143,667,0,
cs031816_rlc.xlsx,WSK320_MM007,0.5994,16.36061078,11.45466544,45.12676972,-20.38654888,MM007,4E,M,20/06/2014,41810,41810,0,1,
hm031115qcr,WSK245/SF017,0.496,16.82958319,11.26073062,45.98446186,-18.42702617,SF017,17,F,25/04/2014,41754,40413,1341,0,
CS031716_rlc.xlsx,WSK831_SF017,0.6891,16.28979352,12.75819044,44.59181641,-19.165508,SF017,17,F,14/01/2015,42018,40413,1605,0,
hm031115qcr,WSK246/SF024,0.538,16.25446528,11.75537349,44.53289032,-18.86866011,SF024,17,F,25/04/2014,41754,40737,1017,0,
CS031716_rlc.xlsx,WSK853_SF024,0.1873,16.90359977,12.90762761,47.73441805,-19.75309045,SF024,17,F,14/01/2015,42018,40737,1281,0,
HM031015qc,WSK030/SF034,0.58,15.20077371,12.07824087,42.6043442,-18.7305845,SF034,17,F,22/10/2013,41569,41218,351,1,
hm031115qcr,WSK250/SF034,0.38,17.01982332,11.47818376,47.6852341,-19.01399277,SF034,17,F,25/04/2014,41754,41218,536,1,
CS031716_rlc.xlsx,WSK832_SF034,0.6264,16.80110129,12.65915384,45.61938556,-19.51728915,SF034,17,F,14/01/2015,42018,41218,800,1,
HM031015qc,WSK031a/SF038,0.317,15.43198525,12.28701622,43.27774103,-18.97564995,SF038,17,F,22/10/2013,41569,41218,351,1,
HM031015qc,WSK031b/SF038,0.454,15.57005689,11.92616228,43.80318789,-18.82083886,SF038,17,F,22/10/2013,41569,41218,351,1,
hm031115qcr,WSK253/SF038,0.717,15.98480977,11.57216744,44.60311784,-19.10535981,SF038,17,F,25/04/2014,41754,41218,536,1,
cs021616rlc.xlsx,WSK498_SF038,0.621,16.28639396,12.61119932,44.6998338,-19.68849615,SF038,17,F,22/11/2014,41965,41218,747,1,
